species,specieskey,genus
Abortiporus biennis,2544114,Abortiporus
Abrachium floriforme,7685901,Abrachium
Abrothallus acetabuli,3475389,Abrothallus
Abrothallus brattii,7896101,Abrothallus
Abrothallus bryoriarum,3475388,Abrothallus
Abrothallus buellianus,3475393,Abrothallus
Abrothallus caerulescens,2592373,Abrothallus
Abrothallus caerulescens,8318560,Abrothallus
Abrothallus cetrariae,7824496,Abrothallus
Abrothallus cladoniae,2592374,Abrothallus
Abrothallus hypotrachynae,3475411,Abrothallus
Abrothallus lobariae,10176645,Abrothallus
Abrothallus microspermus,2592379,Abrothallus
Abrothallus nephromatis,8341723,Abrothallus
Abrothallus parmeliarum,7513752,Abrothallus
Abrothallus parmotrematis,2592368,Abrothallus
Abrothallus peyritschii,7867531,Abrothallus
Abrothallus pezizicola,3475402,Abrothallus
Abrothallus prodiens,2592369,Abrothallus
Abrothallus santessonii,10761368,Abrothallus
Abrothallus suecicus,2592384,Abrothallus
Abrothallus usneae,2592364,Abrothallus
Abrothallus welwitschii,2592363,Abrothallus
Abrothallus welwitschii,8343517,Abrothallus
Absconditella amabilis,5953305,Absconditella
Absconditella annexa,3420344,Absconditella
Absconditella celata,2603173,Absconditella
Absconditella delutula,2603180,Absconditella
Absconditella fossarum,3420348,Absconditella
Absconditella lignicola,2603178,Absconditella
Absconditella pauxilla,2603179,Absconditella
Absconditella sphagnorum,2603172,Absconditella
Absconditella trivialis,2603174,Absconditella
Absidia caerulea,5250625,Absidia
Absidia coerulea,5469216,Absidia
Absidia cylindrospora,3385768,Absidia
Absidia fusca,5250612,Absidia
Absidia glauca,5250615,Absidia
Absidia repens,5250638,Absidia
Absidia spinosa,3385789,Absidia
Abstoma pampeanum,3340029,Abstoma
Abstoma purpureum,2536760,Abstoma
Abstoma reticulatum,3340026,Abstoma
Abstoma stuckertii,2536762,Abstoma
Abstoma townei,3340033,Abstoma
Abstoma verrucisporum,3340027,Abstoma
Acantharia echinata,5262781,Acantharia
Acanthobasidium delicatum,8227732,Acanthobasidium
Acanthobasidium norvegicum,2553007,Acanthobasidium
Acanthobasidium penicillatum,7477233,Acanthobasidium
Acanthobasidium phragmitis,2553005,Acanthobasidium
Acanthohelicospora aurea,9711639,Acanthohelicospora
Acanthohelicospora scopula,9677642,Acanthohelicospora
Acantholichen pannarioides,2555695,Acantholichen
Acanthonitschkea coloradensis,2560779,Acanthonitschkea
Acanthonitschkea tristis,8693810,Acanthonitschkea
Acanthophiobolus helicosporus,2613737,Acanthophiobolus
Acanthophysellum canadense,2552955,Acanthophysellum
Acanthophysellum fennicum,7996022,Acanthophysellum
Acanthophysellum lividocoeruleum,2553140,Acanthophysellum
Acanthophysellum minor,3357651,Acanthophysellum
Acanthophysium apricans,2552985,Acanthophysium
Acanthophysium oakesii,2552944,Acanthophysium
Acanthostigma ellisii,2613819,Acanthostigma
Acanthostigma minutum,2613812,Acanthostigma
Acanthostigma occidentalis,8672327,Acanthostigma
Acanthostigma perpusillum,2613808,Acanthostigma
Acanthostigma revocatum,2613805,Acanthostigma
Acanthostigma scopulorum,2613830,Acanthostigma
Acanthostigmella genuflexa,8387770,Acanthostigmella
Acanthostigmella orthoseta,5262013,Acanthostigmella
Acanthostigmella thaxteri,5262012,Acanthostigmella
Acanthostigmina multiseptatum,9819035,Acanthostigmina
Acanthothecis asprocarpa,10737099,Acanthothecis
Acanthothecis aurantiaca,3416800,Acanthothecis
Acanthothecis gracilis,3416813,Acanthothecis
Acanthothecis hololeucoides,3416809,Acanthothecis
Acanthothecis leucopepla,10845410,Acanthothecis
Acanthothecis mosquitensis,10839295,Acanthothecis
Acanthothecis poitaeoides,10855136,Acanthothecis
Acarocybellina arengae,2590998,Acarocybellina
Acarospora admissa,2600536,Acarospora
Acarospora albomarginata,3413994,Acarospora
Acarospora americana,3413946,Acarospora
Acarospora anomala,3414497,Acarospora
Acarospora badiofusca,2600513,Acarospora
Acarospora brattiae,2600505,Acarospora
Acarospora brodoana,10743959,Acarospora
Acarospora brouardi,2600571,Acarospora
Acarospora brunneola,8193619,Acarospora
Acarospora bullata,2600497,Acarospora
Acarospora californica,3414186,Acarospora
Acarospora canadensis,3414175,Acarospora
Acarospora cervina,2600552,Acarospora
Acarospora charidema,3413926,Acarospora
Acarospora chrysops,2600504,Acarospora
Acarospora cinereoalba,3413932,Acarospora
Acarospora citrina,8652192,Acarospora
Acarospora complanata,3414049,Acarospora
Acarospora contigua,2600568,Acarospora
Acarospora discreta,7250032,Acarospora
Acarospora durietzii,3413921,Acarospora
Acarospora elevata,2600560,Acarospora
Acarospora epithallina,3414466,Acarospora
Acarospora flavisparsa,7957957,Acarospora
Acarospora fuscata,7250044,Acarospora
Acarospora fuscata,7982233,Acarospora
Acarospora fuscescens,3414249,Acarospora
Acarospora gallica,2600507,Acarospora
Acarospora glaucocarpa,7717884,Acarospora
Acarospora gypsi-deserti,7444589,Acarospora
Acarospora gyrocarpa,10737425,Acarospora
Acarospora helvetica,3414449,Acarospora
Acarospora heufleriana,8250647,Acarospora
Acarospora hilaris,2600525,Acarospora
Acarospora hospitans,2600515,Acarospora
Acarospora imbricatula,7729553,Acarospora
Acarospora impressula,2600499,Acarospora
Acarospora insignis,3414471,Acarospora
Acarospora insolata,2600554,Acarospora
Acarospora irregularis,3414206,Acarospora
Acarospora janae,8033572,Acarospora
Acarospora jenesejensis,8680051,Acarospora
Acarospora laqueata,3414150,Acarospora
Acarospora lavicola,3414109,Acarospora
Acarospora macrocarpa,3414096,Acarospora
Acarospora macrocyclos,3414060,Acarospora
Acarospora macrospora,2600528,Acarospora
Acarospora maroccana,3414009,Acarospora
Acarospora microcarpa,3414362,Acarospora
Acarospora modenensis,3414326,Acarospora
Acarospora moenium,7737739,Acarospora
Acarospora molybdina,7250001,Acarospora
Acarospora moraviae,3413893,Acarospora
Acarospora nicolai,3413913,Acarospora
Acarospora nitida,3414454,Acarospora
Acarospora nitrophila,2600531,Acarospora
Acarospora nodulosa,2600520,Acarospora
Acarospora novae-hollandiae,3414010,Acarospora
Acarospora obnubila,2600565,Acarospora
Acarospora obpallens,2600561,Acarospora
Acarospora oligospora,2600549,Acarospora
Acarospora oreophila,2600557,Acarospora
Acarospora paupera,3414405,Acarospora
Acarospora pelioscypha,10774545,Acarospora
Acarospora peltastica,7250020,Acarospora
Acarospora persimilis,3414392,Acarospora
Acarospora picea,3414451,Acarospora
Acarospora piedmontensis,10809614,Acarospora
Acarospora pitardii,3414377,Acarospora
Acarospora placodiiformis,3414437,Acarospora
Acarospora putoranica,3414159,Acarospora
Acarospora pyrenopsoides,2600543,Acarospora
Acarospora radicata,3414350,Acarospora
Acarospora robiniae,2600547,Acarospora
Acarospora rosulata,3413958,Acarospora
Acarospora schleicheri,2600558,Acarospora
Acarospora scotica,2600538,Acarospora
Acarospora scrobiculata,3414387,Acarospora
Acarospora septentrionalis,9752491,Acarospora
Acarospora sinopica,2600524,Acarospora
Acarospora socialis,2600496,Acarospora
Acarospora stapfiana,2600563,Acarospora
Acarospora strigata,2600551,Acarospora
Acarospora subrufula,2600541,Acarospora
Acarospora sulphurata,6018008,Acarospora
Acarospora thamnina,2600526,Acarospora
Acarospora thelococcoides,2600516,Acarospora
Acarospora tuckerae,2600523,Acarospora
Acarospora ubayensis,10714080,Acarospora
Acarospora umbilicata,2600555,Acarospora
Acarospora utahensis,3414162,Acarospora
Acarospora veronensis,2600544,Acarospora
Acarospora versicolor,2600519,Acarospora
Acarospora wahlenbergii,3414113,Acarospora
Acarospora williamsii,3414125,Acarospora
Acarosporium lichenicola,3485321,Acarosporium
Acaulopage tetraceros,2559149,Acaulopage
Acaulospora brasiliensis,8178622,Acaulospora
Acaulospora cavernata,8365491,Acaulospora
Acaulospora delicata,2560112,Acaulospora
Acaulospora denticulata,2560127,Acaulospora
Acaulospora elegans,2560110,Acaulospora
Acaulospora excavata,2560128,Acaulospora
Acaulospora foveata,2560131,Acaulospora
Acaulospora koskei,2560121,Acaulospora
Acaulospora lacunosa,2560109,Acaulospora
Acaulospora laevis,2560113,Acaulospora
Acaulospora mellea,2560134,Acaulospora
Acaulospora morrowiae,2560125,Acaulospora
Acaulospora paulinae,7420873,Acaulospora
Acaulospora rehmii,2560120,Acaulospora
Acaulospora scrobiculata,2560129,Acaulospora
Acaulospora spinosa,2560124,Acaulospora
Acaulospora thomii,2560115,Acaulospora
Acaulospora tuberculata,2560123,Acaulospora
Acervus aurantiacus,3496454,Acervus
Acervus epispartius,2593505,Acervus
Acervus flavidus,3496456,Acervus
Achroomyces arachidosporus,3383856,Achroomyces
Achroomyces arrhytidiae,2517983,Achroomyces
Achroomyces blastomyces,3383830,Achroomyces
Achroomyces carolinianus,3383824,Achroomyces
Achroomyces chlamydosporus,3383845,Achroomyces
Achroomyces decipiens,3383849,Achroomyces
Achroomyces effusus,8233767,Achroomyces
Achroomyces henricii,2517977,Achroomyces
Achroomyces insignis,2517986,Achroomyces
Achroomyces lagerstroemiae,3383818,Achroomyces
Achroomyces longibasidius,3383846,Achroomyces
Achroomyces longisporus,3383844,Achroomyces
Achroomyces micrus,2517979,Achroomyces
Achroomyces pachysterigmatus,2517978,Achroomyces
Achroomyces robertsii,3383838,Achroomyces
Achroomyces subabditus,3383826,Achroomyces
Aciculosporium phalaridis,10841424,Aciculosporium
Acladium curtisii,2554934,Acladium
Acladium fuscum,3367484,Acladium
Acladium simile,2554922,Acladium
Acolium chloroconium,5518686,Acolium
Acolium inquinans,5478889,Acolium
Acolium karelicum,10150140,Acolium
Acolium marcianum,10827525,Acolium
Acolium sessile,7390875,Acolium
Acremoniella atra,2591946,Acremoniella
Acremoniula triseptata,8152837,Acremoniula
Acremonium alternatum,2562344,Acremonium
Acremonium charticola,2562353,Acremonium
Acremonium felinum,7376424,Acremonium
Acremonium fusidioides,2562315,Acremonium
Acremonium hyalinulum,2562361,Acremonium
Acremonium hypholomatis,2562349,Acremonium
Acremonium murorum,3450284,Acremonium
Acremonium persicinum,2562443,Acremonium
Acremonium pertusariae,7564529,Acremonium
Acremonium polychromum,2562401,Acremonium
Acremonium roseolum,2562451,Acremonium
Acremonium rutilum,2562439,Acremonium
Acremonium spicatum,2562448,Acremonium
Acrocalymma vagum,9656174,Acrocalymma
Acroconidiella tropaeoli,2620693,Acroconidiella
Acrocordia cavata,2598807,Acrocordia
Acrocordia conoidea,2598815,Acrocordia
Acrocordia gemmata,2598808,Acrocordia
Acrocordia macrospora,2598806,Acrocordia
Acrocordia megalospora,2598814,Acrocordia
Acrocordia salweyi,3467000,Acrocordia
Acrocordia subglobosa,3467006,Acrocordia
Acrocordiella occulta,2598896,Acrocordiella
Acrodictyopsis lauri,2591782,Acrodictyopsis
Acrodictys bambusicola,3476724,Acrodictys
Acrodictys elaeidicola,3476725,Acrodictys
Acrodontiella fallopiae,2588718,Acrodontiella
Acrodontium echinulatum,2592034,Acrodontium
Acrodontium hydnicola,2592031,Acrodontium
Acrodontium luzulae,9759226,Acrodontium
Acrogenospora carmichaeliana,9671852,Acrogenospora
Acrogenospora megalospora,2614807,Acrogenospora
Acrogenospora sphaerocephala,2613618,Acrogenospora
Acrogenotheca elegans,2626019,Acrogenotheca
Acrophialophora fusispora,2592090,Acrophialophora
Acrophialophora levis,2592094,Acrophialophora
Acroscyphus sphaerophoroides,5478804,Acroscyphus
Acrospermum adeanum,2612453,Acrospermum
Acrospermum compressum,2612450,Acrospermum
Acrospermum cuneolum,3519899,Acrospermum
Acrospermum gaubae,3519859,Acrospermum
Acrospermum graminum,2612452,Acrospermum
Acrospermum pallidulum,2612456,Acrospermum
Acrostalagmus albus,2562055,Acrostalagmus
Acrostalagmus annulatus,7924293,Acrostalagmus
Acrostalagmus galeoides,2562054,Acrostalagmus
Acrostalagmus luteoalbus,2562043,Acrostalagmus
Acrothecium delicatulum,2588357,Acrothecium
Actidium baccarinii,5510739,Actidium
Actidium hysterioides,5262980,Actidium
Actinocladium rhodosporum,2587711,Actinocladium
Actinodendron verticillatum,2595794,Actinodendron
Actinomucor elegans,2558521,Actinomucor
Actinoplaca strigulacea,3419967,Actinoplaca
Actinoscypha muelleri,3286587,Actinoscypha
Acumispora biseptata,2589627,Acumispora
Acumispora phragmospora,2589629,Acumispora
Adelococcus alpestris,2596959,Adelococcus
Adelococcus interlatens,2596954,Adelococcus
Adelolecia kolaensis,3397214,Adelolecia
Adelolecia pilati,2607922,Adelolecia
Adelphella babingtonii,3494731,Adelphella
Aderkomyces albostrigosus,3419996,Aderkomyces
Aderkomyces couepiae,3419979,Aderkomyces
Aderkomyces verrucosus,3419981,Aderkomyces
Adustomyces lusitanicus,2540677,Adustomyces
Aecidium abscedens,3374658,Aecidium
Aecidium acanthocarpi,8341307,Aecidium
Aecidium albicans,3375626,Aecidium
Aecidium anemones,2516463,Aecidium
Aecidium anograe,3374782,Aecidium
Aecidium arctoum,3376017,Aecidium
Aecidium boltoniae,3374465,Aecidium
Aecidium bubakii,3375303,Aecidium
Aecidium byrsonimatis,3375352,Aecidium
Aecidium cacaliae,3375822,Aecidium
Aecidium caladii,3375471,Aecidium
Aecidium campanulastri,3375289,Aecidium
Aecidium cardui,7914796,Aecidium
Aecidium celmisiae-discoloris,2517592,Aecidium
Aecidium clematidis,2514735,Aecidium
Aecidium clematidis-brachiatae,3375480,Aecidium
Aecidium clemensiae,10685585,Aecidium
Aecidium conyzae-pinnatilobatae,3375999,Aecidium
Aecidium cordiae,3375773,Aecidium
Aecidium delphinii,3375635,Aecidium
Aecidium disciforme,2517578,Aecidium
Aecidium dubiosum,3374539,Aecidium
Aecidium eburneum,,Aecidium
Aecidium euphorbiae-gerardianae,3375643,Aecidium
Aecidium evansii,3375405,Aecidium
Aecidium falcatae,2517603,Aecidium
Aecidium fuchsiae,3375436,Aecidium
Aecidium girardiniae,3375319,Aecidium
Aecidium grindeliae,8152811,Aecidium
Aecidium hederae,7897579,Aecidium
Aecidium impatientis,11118268,Aecidium
Aecidium malvicola,3375331,Aecidium
Aecidium marsdeniae,3374770,Aecidium
Aecidium microstomum,2517589,Aecidium
Aecidium minutulum,3374486,Aecidium
Aecidium montagnei,3375497,Aecidium
Aecidium montanum,3375252,Aecidium
Aecidium mori,9548764,Aecidium
Aecidium obesum,3374493,Aecidium
Aecidium oleariae,3375343,Aecidium
Aecidium onosmodii,3375729,Aecidium
Aecidium pachystigmae,3375203,Aecidium
Aecidium petalostemonis,3375994,Aecidium
Aecidium plantaginis-variae,2517619,Aecidium
Aecidium platylobii,3375853,Aecidium
Aecidium poasense,3375448,Aecidium
Aecidium praecipuum,3375546,Aecidium
Aecidium pseudocolumnare,2516862,Aecidium
Aecidium punicum,3375186,Aecidium
Aecidium ranunculi,7580206,Aecidium
Aecidium ranunculi-acris,3375796,Aecidium
Aecidium ranunculi-insignis,2517611,Aecidium
Aecidium ranunculi-lyallii,2517591,Aecidium
Aecidium rutae,3375205,Aecidium
Aecidium sambucinum,3374914,Aecidium
Aecidium scutellariae,2517575,Aecidium
Aecidium senecionis,2517580,Aecidium
Aecidium soleniiforme,,Aecidium
Aecidium tandonii,3375870,Aecidium
Aecidium tubulosum,2517560,Aecidium
Aecidium urticae,8103619,Aecidium
Aecidium westlandicum,2517579,Aecidium
Aecidium xanthoxylinum,3374705,Aecidium
Aegerita crustacea,3361749,Aegerita
Aegerita webberi,2544904,Aegerita
Aegeritoidea foliicola,3498147,Aegeritoidea
Aeruginoscyphus sericeus,7590594,Aeruginoscyphus
Aeruginospora furfuracea,2532026,Aeruginospora
Afroboletus luteolus,2524690,Afroboletus
Agaricus abruptibulbus,5455910,Agaricus
Agaricus alachuanus,5456776,Agaricus
Agaricus albolutescens,5456337,Agaricus
Agaricus albosquamosus,9787617,Agaricus
Agaricus altipes,5243464,Agaricus
Agaricus amanitiformis,5457293,Agaricus
Agaricus amicosus,5454892,Agaricus
Agaricus andrewii,5457262,Agaricus
Agaricus annae,5455722,Agaricus
Agaricus approximans,5456008,Agaricus
Agaricus argenteus,10815717,Agaricus
Agaricus argenteus,5457475,Agaricus
Agaricus argyropotamicus,5456006,Agaricus
Agaricus aridicola,9798710,Agaricus
Agaricus aridicola,5243343,Agaricus
Agaricus aristocratus,5457154,Agaricus
Agaricus arorae,5457881,Agaricus
Agaricus arrillagarum,7767446,Agaricus
Agaricus arvalis,7703052,Agaricus
Agaricus arvensis,5243403,Agaricus
Agaricus atrodiscus,7794860,Agaricus
Agaricus augustus,5243429,Agaricus
Agaricus auresiccescens,5457253,Agaricus
Agaricus austrovinaceus,5458281,Agaricus
Agaricus bellanniae,9789710,Agaricus
Agaricus benesii,8353373,Agaricus
Agaricus bernardii,5243392,Agaricus
Agaricus bernardiiformis,5457222,Agaricus
Agaricus bilamellatus,5455137,Agaricus
Agaricus bisporus,5243447,Agaricus
Agaricus bitorquis,5243374,Agaricus
Agaricus bohusii,5243385,Agaricus
Agaricus boisseletii,5455537,Agaricus
Agaricus bresadolanus,5243347,Agaricus
Agaricus brunneofibrillosus,9795844,Agaricus
Agaricus brunneolus,8148739,Agaricus
Agaricus brunnescens,5243459,Agaricus
Agaricus buckmacadooi,9773160,Agaricus
Agaricus butyreburneus,9743561,Agaricus
Agaricus californicus,5455677,Agaricus
Agaricus campestris,5243458,Agaricus
Agaricus cappellianus,5243478,Agaricus
Agaricus cappellii,7690451,Agaricus
Agaricus caribaeus,5458072,Agaricus
Agaricus chionodermus,5458123,Agaricus
Agaricus ciscoensis,5454799,Agaricus
Agaricus collegarum,9673143,Agaricus
Agaricus columellatus,9793178,Agaricus
Agaricus comptuloides,5458125,Agaricus
Agaricus comtuliformis,5455911,Agaricus
Agaricus comtulus,5243354,Agaricus
Agaricus cretacellus,5455187,Agaricus
Agaricus crocodilinus,7242473,Agaricus
Agaricus cruciquercorum,9720681,Agaricus
Agaricus cuniculicola,5454475,Agaricus
Agaricus cupreobrunneus,5243433,Agaricus
Agaricus cupressicola,5456261,Agaricus
Agaricus deardorffensis,9818037,Agaricus
Agaricus depauperatus,5243400,Agaricus
Agaricus deserticola,5898938,Agaricus
Agaricus devoniensis,5243358,Agaricus
Agaricus didymus,9779811,Agaricus
Agaricus diminutivus,5455805,Agaricus
Agaricus diospyros,9655720,Agaricus
Agaricus dulcidulus,5243386,Agaricus
Agaricus eastlandensis,5454777,Agaricus
Agaricus edmondoi,7994376,Agaricus
Agaricus elatior,,Agaricus
Agaricus endoxanthus,5456646,Agaricus
Agaricus evertens,9741199,Agaricus
Agaricus fibuloides,5456529,Agaricus
Agaricus floridanus,5457403,Agaricus
Agaricus foetidus,8040898,Agaricus
Agaricus friesianus,7730741,Agaricus
Agaricus fuscofibrillosus,5243473,Agaricus
Agaricus fuscovelatus,5457867,Agaricus
Agaricus gemellatus,9743827,Agaricus
Agaricus gemlii,8063225,Agaricus
Agaricus gennadii,5243489,Agaricus
Agaricus goossensiae,5458308,Agaricus
Agaricus griseicephalus,9416037,Agaricus
Agaricus heimii,5455924,Agaricus
Agaricus heinemannianus,5456523,Agaricus
Agaricus hondensis,5457703,Agaricus
Agaricus horakianus,9653006,Agaricus
Agaricus horakii,5243391,Agaricus
Agaricus iesu,9357632,Agaricus
Agaricus iesu-et-marthae,11114718,Agaricus
Agaricus impudicus,5243420,Agaricus
Agaricus incultorum,9717736,Agaricus
Agaricus indistinctus,7423818,Agaricus
Agaricus iodosmus,5455644,Agaricus
Agaricus jacobi,8361400,Agaricus
Agaricus julius,9811524,Agaricus
Agaricus karstomyces,10189936,Agaricus
Agaricus kauffmanii,5454749,Agaricus
Agaricus kerriganii,7509359,Agaricus
Agaricus koelerionensis,5243424,Agaricus
Agaricus kriegeri,9801611,Agaricus
Agaricus lanatoniger,5243353,Agaricus
Agaricus langei,8336113,Agaricus
Agaricus lanipes,5243351,Agaricus
Agaricus laskibarii,5455474,Agaricus
Agaricus leptocaulis,9649182,Agaricus
Agaricus lilaceps,5458950,Agaricus
Agaricus litoralis,5243438,Agaricus
Agaricus lividonitidus,8362997,Agaricus
Agaricus ludovicii,6014813,Agaricus
Agaricus luteoflocculosus,5458787,Agaricus
Agaricus luteomaculatus,7755728,Agaricus
Agaricus lutosus,5243399,Agaricus
Agaricus luzonensis,5455063,Agaricus
Agaricus macrocarpus,7937063,Agaricus
Agaricus macrolepis,7441479,Agaricus
Agaricus macrosporoides,5454587,Agaricus
Agaricus magniceps,5454675,Agaricus
Agaricus majusculus,5454522,Agaricus
Agaricus megalocarpus,10848265,Agaricus
Agaricus melanosporus,7703567,Agaricus
Agaricus meleagris,7810740,Agaricus
Agaricus menieri,5455280,Agaricus
Agaricus merrillii,5457172,Agaricus
Agaricus mesocarpus,9770765,Agaricus
Agaricus micromegethus,5455095,Agaricus
Agaricus moelleri,5243496,Agaricus
Agaricus moellerianus,5243441,Agaricus
Agaricus moelleroides,7804690,Agaricus
Agaricus moronii,9819850,Agaricus
Agaricus nanaugustus,9690548,Agaricus
Agaricus niveus,7667459,Agaricus
Agaricus ochraceosquamulosus,5456217,Agaricus
Agaricus osecanus,5243474,Agaricus
Agaricus pallens,8268211,Agaricus
Agaricus pampeanus,5243409,Agaricus
Agaricus pattersoniae,8409460,Agaricus
Agaricus pearsonii,5454864,Agaricus
Agaricus pequinii,8355758,Agaricus
Agaricus perfuscus,5455922,Agaricus
Agaricus perobscurus,5457860,Agaricus
Agaricus phaeolepidotus,8240628,Agaricus
Agaricus pilatianus,6014790,Agaricus
Agaricus pilosporus,5458008,Agaricus
Agaricus placomyces,5243506,Agaricus
Agaricus pocillator,5454734,Agaricus
Agaricus porosporus,5456189,Agaricus
Agaricus porphyrizon,5243397,Agaricus
Agaricus porphyrocephalus,7807272,Agaricus
Agaricus praemagnus,5454481,Agaricus
Agaricus praerimosus,5457217,Agaricus
Agaricus pratensis,8230624,Agaricus
Agaricus pseudolutosus,5458957,Agaricus
Agaricus pseudopratensis,5243346,Agaricus
Agaricus pseudoumbrella,5455879,Agaricus
Agaricus purpurellus,8225851,Agaricus
Agaricus rhoadsii,6325067,Agaricus
Agaricus rollanii,5454550,Agaricus
Agaricus rotalis,5457194,Agaricus
Agaricus rusiophyllus,6014724,Agaricus
Agaricus rutilescens,5458321,Agaricus
Agaricus sagatus,5455981,Agaricus
Agaricus semotus,5243428,Agaricus
Agaricus sequoiae,5457830,Agaricus
Agaricus silvicolae-similis,5456993,Agaricus
Agaricus sipapuensis,9661899,Agaricus
Agaricus stolonifer,2536949,Agaricus
Agaricus subfloccosus,5243345,Agaricus
Agaricus subfloccosus,7581021,Agaricus
Agaricus subnitens,5455257,Agaricus
Agaricus subperonatus,5243507,Agaricus
Agaricus subpratensis,5458736,Agaricus
Agaricus subrufescens,5243460,Agaricus
Agaricus subrufescentoides,5457218,Agaricus
Agaricus subrutilescens,5243396,Agaricus
Agaricus subsquamuliferus,5454389,Agaricus
Agaricus summensis,5455485,Agaricus
Agaricus sylvaticus,8108291,Agaricus
Agaricus sylvicola,8365581,Agaricus
Agaricus tantulus,5458066,Agaricus
Agaricus tenuivolvatus,5455873,Agaricus
Agaricus thujae,9688303,Agaricus
Agaricus trisulphuratus,5242791,Agaricus
Agaricus urinascens,3336440,Agaricus
Agaricus vaporarius,7523166,Agaricus
Agaricus venus,5455077,Agaricus
Agaricus vinaceovirens,5457794,Agaricus
Agaricus vinosobrunneofumidus,9699633,Agaricus
Agaricus viridopurpurascens,5243436,Agaricus
Agaricus volvatulus,5455695,Agaricus
Agaricus wariatodes,8084577,Agaricus
Agaricus xanthodermulus,5458937,Agaricus
Agaricus xanthodermus,5243412,Agaricus
Agaricus xantholepis,5243402,Agaricus
Agaricus xuchilensis,5457251,Agaricus
Agaricus zelleri,9719789,Agaricus
Agonimia allobata,2596864,Agonimia
Agonimia borysthenica,10695414,Agonimia
Agonimia flabelliformis,7187153,Agonimia
Agonimia gelatinosa,2596869,Agonimia
Agonimia globulifera,2596939,Agonimia
Agonimia koreana,8444712,Agonimia
Agonimia octospora,2596865,Agonimia
Agonimia opuntiella,2596863,Agonimia
Agonimia pacifica,3473621,Agonimia
Agonimia repleta,2596941,Agonimia
Agonimia tristicula,2596866,Agonimia
Agonimia vouauxii,3470023,Agonimia
Agrocybe acericola,3344363,Agrocybe
Agrocybe amara,3344422,Agrocybe
Agrocybe arvalis,2533170,Agrocybe
Agrocybe arvalis,8419707,Agrocybe
Agrocybe attenuata,2533178,Agrocybe
Agrocybe avellanea,3344324,Agrocybe
Agrocybe broadwayi,2533218,Agrocybe
Agrocybe brunneola,2533145,Agrocybe
Agrocybe cylindrica,7584583,Agrocybe
Agrocybe dura,2533128,Agrocybe
Agrocybe earlei,3344308,Agrocybe
Agrocybe elatella,3344350,Agrocybe
Agrocybe farinacea,3344323,Agrocybe
Agrocybe fimicola,3344311,Agrocybe
Agrocybe firma,2533182,Agrocybe
Agrocybe hesleri,3344303,Agrocybe
Agrocybe howeana,2533144,Agrocybe
Agrocybe limonia,3344360,Agrocybe
Agrocybe microspora,3344393,Agrocybe
Agrocybe molesta,2533127,Agrocybe
Agrocybe mullauna,3344414,Agrocybe
Agrocybe neocoprophila,3344340,Agrocybe
Agrocybe ochracea,3344342,Agrocybe
Agrocybe olivacea,2533206,Agrocybe
Agrocybe ombrophila,2533148,Agrocybe
Agrocybe paludosa,2533227,Agrocybe
Agrocybe parrumbala,3344401,Agrocybe
Agrocybe pediades,9050242,Agrocybe
Agrocybe platysperma,3344409,Agrocybe
Agrocybe praecox,8997022,Agrocybe
Agrocybe pusiola,2533136,Agrocybe
Agrocybe putaminum,2533207,Agrocybe
Agrocybe recalva,3344403,Agrocybe
Agrocybe retigera,3344404,Agrocybe
Agrocybe rivulosa,2533217,Agrocybe
Agrocybe smithii,3344316,Agrocybe
Agrocybe sororia,2533135,Agrocybe
Agrocybe splendida,3344375,Agrocybe
Agrocybe splendidoides,3344358,Agrocybe
Agrocybe subamara,3344398,Agrocybe
Agrocybe tabacina,3344336,Agrocybe
Agrocybe tunicola,3344423,Agrocybe
Agrocybe vermiflua,3344348,Agrocybe
Agrocybe vervacti,9151391,Agrocybe
Agrocybe xuchilensis,3344377,Agrocybe
Agyriella nitida,5517442,Agyriella
Agyrium rufum,2599679,Agyrium
Ahtiana pallidula,2605888,Ahtiana
Ainoa mooreana,5260387,Ainoa
Ajellomyces capsulatus,3469214,Ajellomyces
Ajellomyces crescens,2595918,Ajellomyces
Akanthomyces aculeatus,2562811,Akanthomyces
Akanthomyces aranearum,2562809,Akanthomyces
Akanthomyces lecanii,10453360,Akanthomyces
Akanthomyces muscarius,10694323,Akanthomyces
Akanthomyces tuberculatus,9835970,Akanthomyces
Akenomyces costatus,2523624,Akenomyces
Alatospora acuminata,5255218,Alatospora
Alatospora flagellata,5255216,Alatospora
Alatospora pulchella,5255217,Alatospora
Albatrellopsis flettii,5955078,Albatrellopsis
Albatrellus arizonicus,8372549,Albatrellus
Albatrellus avellaneus,2551771,Albatrellus
Albatrellus citrinus,3357741,Albatrellus
Albatrellus confluens,2551806,Albatrellus
Albatrellus ellisii,2551834,Albatrellus
Albatrellus ovinus,2551823,Albatrellus
Albatrellus pilosus,2551792,Albatrellus
Albatrellus subrubescens,3357733,Albatrellus
Albertiniella polyporicola,2573828,Albertiniella
Albifimbria verrucaria,9751035,Albifimbria
Albomagister subaustralis,7613780,Albomagister
Albonectria rigidiuscula,2564269,Albonectria
Alborbis galericulata,9738446,Alborbis
Albotricha acutipila,2586652,Albotricha
Albotricha albidorosea,11117805,Albotricha
Albotricha albotestacea,2586646,Albotricha
Albotricha alpina,3489517,Albotricha
Albotricha ammophilae,2586641,Albotricha
Albotricha caduca,3489532,Albotricha
Albotricha kamtschatica,3489526,Albotricha
Albotricha kurilensis,3489535,Albotricha
Albotricha laetior,3489528,Albotricha
Albotricha longispora,3489518,Albotricha
